,ASGS_Code_2016,Tot_P_P
POA2000,2000,27411
POA2006,2006,1259
POA2007,2007,8845
POA2008,2008,11712
POA2009,2009,12813
POA2010,2010,27734
POA2011,2011,21196
POA2015,2015,9918
POA2016,2016,13213
POA2017,2017,24695
POA2018,2018,17028
POA2019,2019,10838
POA2020,2020,14772
POA2021,2021,15313
POA2022,2022,12507
POA2023,2023,10716
POA2024,2024,11073
POA2025,2025,7405
POA2026,2026,32490
POA2027,2027,8195
POA2028,2028,4642
POA2029,2029,9961
POA2030,2030,14079
POA2031,2031,34726
POA2032,2032,16689
POA2033,2033,11570
POA2034,2034,20713
POA2035,2035,34490
POA2036,2036,30407
POA2037,2037,16115
POA2038,2038,9451
POA2039,2039,8725
POA2040,2040,22242
POA2041,2041,15690
POA2042,2042,19129
POA2043,2043,8014
POA2044,2044,7846
POA2045,2045,6457
POA2046,2046,26822
POA2047,2047,11950
POA2048,2048,7938
POA2049,2049,11282
POA2050,2050,8963
POA2052,2052,3425
POA2060,2060,13988
POA2061,2061,5943
POA2062,2062,7006
POA2063,2063,6347
POA2064,2064,9523
POA2065,2065,30119
POA2066,2066,31626
POA2067,2067,26403
POA2068,2068,16813
POA2069,2069,14253
POA2070,2070,13505
POA2071,2071,13545
POA2072,2072,7668
POA2073,2073,16352
POA2074,2074,22258
POA2075,2075,20451
POA2076,2076,24648
POA2077,2077,37791
POA2079,2079,7095
POA2080,2080,1708
POA2081,2081,5369
POA2082,2082,5397
POA2083,2083,1519
POA2084,2084,3625
POA2085,2085,11624
POA2086,2086,13414
POA2087,2087,12798
POA2088,2088,28475
POA2089,2089,11918
POA2090,2090,13724
POA2092,2092,7139
POA2093,2093,22873
POA2094,2094,5840
POA2095,2095,15866
POA2096,2096,14657
POA2097,2097,15529
POA2099,2099,39925
POA2100,2100,20911
POA2101,2101,19395
POA2102,2102,7501
POA2103,2103,10670
POA2104,2104,3620
POA2105,2105,1848
POA2106,2106,9301
POA2107,2107,14669
POA2108,2108,1673
POA2109,2109,3086
POA2110,2110,10343
POA2111,2111,14412
POA2112,2112,32852
POA2113,2113,18371
POA2114,2114,24057
POA2115,2115,10737
POA2116,2116,6642
POA2117,2117,21285
POA2118,2118,24341
POA2119,2119,11643
POA2120,2120,20208
POA2121,2121,28214
POA2122,2122,31160
POA2123,2123,0
POA2125,2125,16374
POA2126,2126,18765
POA2127,2127,14532
POA2128,2128,4166
POA2129,2129,0
POA2130,2130,7311
POA2131,2131,23841
POA2132,2132,10612
POA2133,2133,11012
POA2134,2134,16033
POA2135,2135,25251
POA2136,2136,7364
POA2137,2137,26507
POA2138,2138,20023
POA2139,2139,57
POA2140,2140,16167
POA2141,2141,28675
POA2142,2142,26292
POA2143,2143,8921
POA2144,2144,37366
POA2145,2145,79211
POA2146,2146,17465
POA2147,2147,36341
POA2148,2148,63071
POA2150,2150,31500
POA2151,2151,21306
POA2152,2152,11215
POA2153,2153,56562
POA2154,2154,39594
